clade_name,NCBI_tax_id,Soil_2_S57_trimmed_merged_profile,Soil_1_S56_trimmed_merged_profile,Sample_75_S163_trimmed_merged_profile,Sample_72_S162_trimmed_merged_profile,Sample_68_S161_trimmed_merged_profile,Sample_63_S160_trimmed_merged_profile,Sample_62_S159_trimmed_merged_profile,Sample_56_S158_trimmed_merged_profile,Sample_55_S157_trimmed_merged_profile,Sample_48_S156_trimmed_merged_profile,Sample_46_S155_trimmed_merged_profile,Sample_45_S154_trimmed_merged_profile,Sample_37_S152_trimmed_merged_profile,Sample_29_S151_trimmed_merged_profile,Sample_15_S150_trimmed_merged_profile,Sample_11_S149_trimmed_merged_profile
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_novyi,2|1239|186801|186802|31979|1485|1542,0,0,1.05014,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales,2|201174|1760|85008,0,0,0.674,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae,2|201174|1760|85008|28056,0,0,0.674,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora,2|201174|1760|85008|28056|1873,0,0,0.674,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora|s__Micromonospora_aurantiaca,2|201174|1760|85008|28056|1873|47850,0,0,0.674,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Nitrospirae,2|40117,0,0,0.40451,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Nitrospirae|c__Nitrospira,2|40117|203693,0,0,0.40451,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales,2|40117|203693|189778,0,0,0.40451,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae,2|40117|203693|189778|189779,0,0,0.40451,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira,2|40117|203693|189778|189779|1234,0,0,0.40451,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_sp_CG24A,2|40117|203693|189778|189779|1234|1985133,0,0,0.40451,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium,2157|28890|183925|2158|2159|2160,29.6841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium_subterraneum,2157|28890|183925|2158|2159|2160|59277,29.6841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia,2157|28890|224756,6.48224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales,2157|28890|224756|94695,6.48224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosaetaceae,2157|28890|224756|94695|143067,6.48224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosaetaceae|g__Methanothrix,2157|28890|224756|94695|143067|2222,6.48224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosaetaceae|g__Methanothrix|s__Methanothrix_soehngenii,2157|28890|224756|94695|143067|2222|2223,6.48224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
